Component,Year,Value
Net Natural,2002-01-01,1335
Net Natural,2003-01-01,1334
Net Natural,2004-01-01,1384
Net Natural,2005-01-01,1241
Net Natural,2006-01-01,1372
Net Natural,2007-01-01,1244
Net Natural,2008-01-01,1590
Net Natural,2009-01-01,1474
Net Natural,2010-01-01,1536
Net Natural,2011-01-01,1328
Net Natural,2012-01-01,1531
Net Natural,2013-01-01,1217
Net Natural,2014-01-01,1116
Net Natural,2015-01-01,980
Net Natural,2016-01-01,995
Net Natural,2017-01-01,844
Net Natural,2018-01-01,657
Net Natural,2019-01-01,688
Net Natural,2020-01-01,672
Net Natural,2021-01-01,485
Net International,2002-01-01,1811
Net International,2003-01-01,618
Net International,2004-01-01,1208
Net International,2005-01-01,413
Net International,2006-01-01,1351
Net International,2007-01-01,1697
Net International,2008-01-01,2198
Net International,2009-01-01,2572
Net International,2010-01-01,2646
Net International,2011-01-01,2142
Net International,2012-01-01,2146
Net International,2013-01-01,1488
Net International,2014-01-01,1917
Net International,2015-01-01,2018
Net International,2016-01-01,5476
Net International,2017-01-01,4329
Net International,2018-01-01,5045
Net International,2019-01-01,6618
Net International,2020-01-01,6260
Net International,2021-01-01,2589
Net Interprovincial,2002-01-01,400
Net Interprovincial,2003-01-01,671
Net Interprovincial,2004-01-01,-456
Net Interprovincial,2005-01-01,-1593
Net Interprovincial,2006-01-01,-620
Net Interprovincial,2007-01-01,-868
Net Interprovincial,2008-01-01,-107
Net Interprovincial,2009-01-01,-98
Net Interprovincial,2010-01-01,935
Net Interprovincial,2011-01-01,625
Net Interprovincial,2012-01-01,-638
Net Interprovincial,2013-01-01,-754
Net Interprovincial,2014-01-01,-875
Net Interprovincial,2015-01-01,-1162
Net Interprovincial,2016-01-01,104
Net Interprovincial,2017-01-01,1532
Net Interprovincial,2018-01-01,1456
Net Interprovincial,2019-01-01,1602
Net Interprovincial,2020-01-01,3227
Net Interprovincial,2021-01-01,5594
Net Intraprovincial,2002-01-01,979
Net Intraprovincial,2003-01-01,382
Net Intraprovincial,2004-01-01,-38
Net Intraprovincial,2005-01-01,647
Net Intraprovincial,2006-01-01,441
Net Intraprovincial,2007-01-01,1338
Net Intraprovincial,2008-01-01,1507
Net Intraprovincial,2009-01-01,1492
Net Intraprovincial,2010-01-01,1236
Net Intraprovincial,2011-01-01,1332
Net Intraprovincial,2012-01-01,1386
Net Intraprovincial,2013-01-01,1417
Net Intraprovincial,2014-01-01,1459
Net Intraprovincial,2015-01-01,1277
Net Intraprovincial,2016-01-01,1345
Net Intraprovincial,2017-01-01,993
Net Intraprovincial,2018-01-01,1023
Net Intraprovincial,2019-01-01,1034
Net Intraprovincial,2020-01-01,1018
Net Intraprovincial,2021-01-01,594
