Age Group,Year,% Growth,Value
All,2001-01-01,,369252
All,2002-01-01,0.014063566,374445
All,2003-01-01,0.009737078,378091
All,2004-01-01,0.007037988,380752
All,2005-01-01,0.003120141,381940
All,2006-01-01,0.007116301,384658
All,2007-01-01,0.004533898,386402
All,2008-01-01,0.009101920,389919
All,2009-01-01,0.009666110,393688
All,2010-01-01,0.011857105,398356
All,2011-01-01,0.009333360,402074
All,2012-01-01,0.005725314,404376
All,2013-01-01,0.003021940,405598
All,2014-01-01,0.003607020,407061
All,2015-01-01,0.002348542,408017
All,2016-01-01,0.014700368,414015
All,2017-01-01,0.018593529,421713
All,2018-01-01,0.019401821,429895
All,2019-01-01,0.023256842,439893
All,2020-01-01,0.025276601,451012
All,2021-01-01,0.020536039,460274
0 to 14 years,2001-01-01,,66729
0 to 14 years,2002-01-01,-0.009980668,66063
0 to 14 years,2003-01-01,-0.013335755,65182
0 to 14 years,2004-01-01,-0.018225891,63994
0 to 14 years,2005-01-01,-0.024830453,62405
0 to 14 years,2006-01-01,-0.022337954,61011
0 to 14 years,2007-01-01,-0.007654357,60544
0 to 14 years,2008-01-01,-0.005169794,60231
0 to 14 years,2009-01-01,-0.003569590,60016
0 to 14 years,2010-01-01,-1.666222341e-05,60015
0 to 14 years,2011-01-01,-0.005248688,59700
0 to 14 years,2012-01-01,-0.001373534,59618
0 to 14 years,2013-01-01,-0.000956087,59561
0 to 14 years,2014-01-01,0,59561
0 to 14 years,2015-01-01,0.004029482,59801
0 to 14 years,2016-01-01,0.018645173,60916
0 to 14 years,2017-01-01,0.013576072,61743
0 to 14 years,2018-01-01,0.013863920,62599
0 to 14 years,2019-01-01,0.018370900,63749
0 to 14 years,2020-01-01,0.018855198,64951
0 to 14 years,2021-01-01,0.004033810,65213
15 to 34 years,2001-01-01,,108981
15 to 34 years,2002-01-01,0.011827750,110270
15 to 34 years,2003-01-01,0.008959826,111258
15 to 34 years,2004-01-01,0.006291682,111958
15 to 34 years,2005-01-01,0.000750281,112042
15 to 34 years,2006-01-01,0.000526588,112101
15 to 34 years,2007-01-01,-0.003523608,111706
15 to 34 years,2008-01-01,0.007376506,112530
15 to 34 years,2009-01-01,0.014227317,114131
15 to 34 years,2010-01-01,0.018242195,116213
15 to 34 years,2011-01-01,0.013277344,117756
15 to 34 years,2012-01-01,-0.000543497,117692
15 to 34 years,2013-01-01,-0.007213744,116843
15 to 34 years,2014-01-01,-0.006264817,116111
15 to 34 years,2015-01-01,-0.011204795,114810
15 to 34 years,2016-01-01,0.017367825,116804
15 to 34 years,2017-01-01,0.024014589,119609
15 to 34 years,2018-01-01,0.021344548,122162
15 to 34 years,2019-01-01,0.027029682,125464
15 to 34 years,2020-01-01,0.030423070,129281
15 to 34 years,2021-01-01,0.021959917,132120
35 to 54 years,2001-01-01,,120826
35 to 54 years,2002-01-01,0.009641964,121991
35 to 54 years,2003-01-01,0.002918248,122347
35 to 54 years,2004-01-01,0.002582818,122663
35 to 54 years,2005-01-01,-0.000961985,122545
35 to 54 years,2006-01-01,0.005581623,123229
35 to 54 years,2007-01-01,0.001363315,123397
35 to 54 years,2008-01-01,0.002317722,123683
35 to 54 years,2009-01-01,-0.004592385,123115
35 to 54 years,2010-01-01,-0.002883483,122760
35 to 54 years,2011-01-01,-0.005278592,122112
35 to 54 years,2012-01-01,-0.008827961,121034
35 to 54 years,2013-01-01,-0.011211726,119677
35 to 54 years,2014-01-01,-0.011990608,118242
35 to 54 years,2015-01-01,-0.012246072,116794
35 to 54 years,2016-01-01,-0.008031234,115856
35 to 54 years,2017-01-01,-0.001993854,115625
35 to 54 years,2018-01-01,0.003502703,116030
35 to 54 years,2019-01-01,0.009790571,117166
35 to 54 years,2020-01-01,0.017872079,119260
35 to 54 years,2021-01-01,0.021398625,121812
55 to 64 years,2001-01-01,,32670
55 to 64 years,2002-01-01,0.079767371,35276
55 to 64 years,2003-01-01,0.067864837,37670
55 to 64 years,2004-01-01,0.049933634,39551
55 to 64 years,2005-01-01,0.048823039,41482
55 to 64 years,2006-01-01,0.047586905,43456
55 to 64 years,2007-01-01,0.032193483,44855
55 to 64 years,2008-01-01,0.031278564,46258
55 to 64 years,2009-01-01,0.037139522,47976
55 to 64 years,2010-01-01,0.034454727,49629
55 to 64 years,2011-01-01,0.031231740,51179
55 to 64 years,2012-01-01,0.018405987,52121
55 to 64 years,2013-01-01,0.018879147,53105
55 to 64 years,2014-01-01,0.026494680,54512
55 to 64 years,2015-01-01,0.026122689,55936
55 to 64 years,2016-01-01,0.026709096,57430
55 to 64 years,2017-01-01,0.029427129,59120
55 to 64 years,2018-01-01,0.030142084,60902
55 to 64 years,2019-01-01,0.022298118,62260
55 to 64 years,2020-01-01,0.016784452,63305
55 to 64 years,2021-01-01,0.005465603,63651
65+ years,2001-01-01,,40046
65+ years,2002-01-01,0.019952055,40845
65+ years,2003-01-01,0.019316930,41634
65+ years,2004-01-01,0.022865927,42586
65+ years,2005-01-01,0.020664068,43466
65+ years,2006-01-01,0.032094051,44861
65+ years,2007-01-01,0.023160429,45900
65+ years,2008-01-01,0.028692810,47217
65+ years,2009-01-01,0.026113476,48450
65+ years,2010-01-01,0.026604747,49739
65+ years,2011-01-01,0.031926657,51327
65+ years,2012-01-01,0.050343874,53911
65+ years,2013-01-01,0.046391275,56412
65+ years,2014-01-01,0.039406509,58635
65+ years,2015-01-01,0.034808561,60676
65+ years,2016-01-01,0.038450129,63009
65+ years,2017-01-01,0.041375042,65616
65+ years,2018-01-01,0.039411119,68202
65+ years,2019-01-01,0.043899006,71196
65+ years,2020-01-01,0.042404068,74215
65+ years,2021-01-01,0.043966853,77478
