Week,KPI <72 hrs 90%,KPI <96 hrs 100%,Avg Days on Dock,Terminal
1,8.20%,11.20%,16.6,South End
2,6.60%,13.60%,12.2,South End
3,9.90%,10.10%,14.6,South End
4,9.30%,11.60%,12.8,South End
5,6.20%,7.40%,15.6,South End
6,16.70%,17.60%,12.8,South End
7,4.00%,9.00%,11,South End
8,61.40%,63.10%,4.8,South End
9,62.40%,77.90%,2.7,South End
10,16.80%,30.40%,5.5,South End
11,10.80%,17.90%,6.9,South End
12,20.20%,26.20%,8.1,South End
13,94.50%,95.40%,1.5,South End
14,88.00%,94.90%,1.8,South End
15,67.00%,75.30%,2.6,South End
16,88.40%,91.50%,1.8,South End
17,74.30%,82.80%,3,South End
18,82.10%,91.90%,2.2,South End
